fecha,medida,Temperatura,VariacionAnual
12/2015,media,14.4,24.14
11/2015,media,16.2,-1.82
10/2015,media,18.9,-12.50
09/2015,media,22,-7.17
08/2015,media,25.4,2.01
07/2015,media,27.4,11.84
06/2015,media,24.3,5.19
05/2015,media,20.3,11.54
04/2015,media,16.2,-4.14
03/2015,media,14,-0.71
02/2015,media,10.6,-15.87
01/2015,media,11.5,-7.26
12/2014,media,11.6,-2.52
11/2014,media,16.5,13.79
10/2014,media,21.6,0.93
09/2014,media,23.7,1.28
08/2014,media,24.9,-3.49
07/2014,media,24.5,-6.84
06/2014,media,23.1,6.94
05/2014,media,18.2,8.33
04/2014,media,16.9,9.74
03/2014,media,14.1,2.92
02/2014,media,12.6,22.33
01/2014,media,12.4,5.98
12/2013,media,11.9,-4.80
11/2013,media,14.5,-4.61
10/2013,media,21.4,9.18
09/2013,media,23.4,0.86
08/2013,media,25.8,-3.73
07/2013,media,26.3,7.35
06/2013,media,21.6,-9.24
05/2013,media,16.8,-14.29
04/2013,media,15.4,1.32
03/2013,media,13.7,-5.52
02/2013,media,10.3,14.44
01/2013,media,11.7,-0.85
12/2012,media,12.5,-3.10
11/2012,media,15.2,-9.52
10/2012,media,19.6,-4.39
09/2012,media,23.2,-4.13
08/2012,media,26.8,3.88
07/2012,media,24.5,4.26
06/2012,media,23.8,8.68
05/2012,media,19.6,-2.49
04/2012,media,15.2,-14.12
03/2012,media,14.5,9.02
02/2012,media,9,-27.42
01/2012,media,11.8,7.27
12/2011,media,12.9,16.22
11/2011,media,16.8,23.53
10/2011,media,20.5,11.41
09/2011,media,24.2,7.08
08/2011,media,25.8,1.57
07/2011,media,23.5,-11.99
06/2011,media,21.9,-0.45
05/2011,media,20.1,14.86
04/2011,media,17.7,11.32
03/2011,media,13.3,10.83
02/2011,media,12.4,14.81
01/2011,media,11,12.24
12/2010,media,11.1,-5.93
11/2010,media,13.6,-15.00
10/2010,media,18.4,-8.00
09/2010,media,22.6,-1.31
08/2010,media,25.4,-5.58
07/2010,media,26.7,4.30
06/2010,media,22,-6.78
05/2010,media,17.5,-12.06
04/2010,media,15.9,4.61
03/2010,media,12,-9.77
02/2010,media,10.8,-5.26
01/2010,media,9.8,-5.77
12/2009,media,11.8,10.28
11/2009,media,16,20.30
10/2009,media,20,6.95
09/2009,media,22.9,2.23
08/2009,media,26.9,5.08
07/2009,media,25.6,1.19
06/2009,media,23.6,5.36
05/2009,media,19.9,7.57
04/2009,media,15.2,-6.17
03/2009,media,13.3,-2.21
02/2009,media,11.4,-14.29
01/2009,media,10.4,-22.39
12/2008,media,10.7,-13.71
11/2008,media,13.3,-6.34
10/2008,media,18.7,-3.11
09/2008,media,22.4,-1.75
08/2008,media,25.6,4.07
07/2008,media,25.3,0.80
06/2008,media,22.4,-3.86
05/2008,media,18.5,-7.96
04/2008,media,16.2,-4.71
03/2008,media,13.6,-6.85
02/2008,media,13.3,-6.99
01/2008,media,13.4,3.88
12/2007,media,12.4,-3.88
11/2007,media,14.2,-19.32
10/2007,media,19.3,-10.65
09/2007,media,22.8,-3.39
08/2007,media,24.6,-0.81
07/2007,media,25.1,-10.68
06/2007,media,23.3,0.43
05/2007,media,20.1,-0.50
04/2007,media,17,0.00
03/2007,media,14.6,0.00
02/2007,media,14.3,23.28
01/2007,media,12.9,19.44
