fecha,tipoPasajero,pasajerosAeropuerto,VAaeropuerto,porcentajeAeropuerto
12/2016,Total,2999613,15.25,6.80
11/2016,Total,3041678,9.14,6.89
10/2016,Total,4016823,10.93,9.10
09/2016,Total,4358426,9.76,9.88
08/2016,Total,4698399,6.84,10.65
07/2016,Total,4666420,9.63,10.57
06/2016,Total,4195910,10.02,9.51
05/2016,Total,4047320,12.33,9.17
04/2016,Total,3619083,8.74,8.20
03/2016,Total,3299911,14.17,7.48
02/2016,Total,2670651,20.43,6.05
01/2016,Total,2516114,14.33,5.70
12/2015,Total,2602785,8.03,6.56
11/2015,Total,2786882,12.74,7.02
10/2015,Total,3621167,7.56,9.12
09/2015,Total,3971013,4.55,10.01
08/2015,Total,4397742,3.66,11.08
07/2015,Total,4256454,5.76,10.72
06/2015,Total,3813810,2.66,9.61
05/2015,Total,3603049,6.11,9.08
04/2015,Total,3328134,4.74,8.39
03/2015,Total,2890431,7.08,7.28
02/2015,Total,2217610,3.68,5.59
01/2015,Total,2200684,4.83,5.54
12/2014,Total,2409415,4.52,6.42
11/2014,Total,2471871,3.76,6.58
10/2014,Total,3366776,7.98,8.97
09/2014,Total,3798291,7.75,10.12
08/2014,Total,4242629,8.62,11.30
07/2014,Total,4024657,4.84,10.72
06/2014,Total,3715115,6.34,9.90
05/2014,Total,3395590,5.55,9.05
04/2014,Total,3177528,10.80,8.46
03/2014,Total,2699420,6.24,7.19
02/2014,Total,2138920,6.33,5.70
01/2014,Total,2099300,5.13,5.59
12/2013,Total,2305275,5.29,6.55
11/2013,Total,2382364,4.55,6.77
10/2013,Total,3117870,2.13,8.86
09/2013,Total,3524996,0.82,10.01
08/2013,Total,3905836,0.84,11.10
07/2013,Total,3838940,0.40,10.91
06/2013,Total,3493501,2.69,9.92
05/2013,Total,3217057,2.02,9.14
04/2013,Total,2867791,-4.22,8.15
03/2013,Total,2540783,-2.46,7.22
02/2013,Total,2011614,-4.20,5.71
01/2013,Total,1996823,-7.65,5.67
12/2012,Total,2189372,-9.70,6.23
11/2012,Total,2278702,-7.58,6.49
10/2012,Total,3052708,-0.36,8.69
09/2012,Total,3496499,4.76,9.95
08/2012,Total,3873274,6.91,11.03
07/2012,Total,3823603,6.02,10.88
06/2012,Total,3402002,5.20,9.68
05/2012,Total,3153512,2.67,8.98
04/2012,Total,2994217,4.02,8.52
03/2012,Total,2604982,0.53,7.42
02/2012,Total,2099903,0.71,5.98
01/2012,Total,2162324,7.83,6.16
12/2011,Total,2424629,16.86,7.05
11/2011,Total,2465588,6.29,7.17
10/2011,Total,3063865,9.50,8.91
09/2011,Total,3337783,17.66,9.71
08/2011,Total,3622782,19.07,10.54
07/2011,Total,3606358,21.29,10.49
06/2011,Total,3233726,23.00,9.40
05/2011,Total,3071512,22.33,8.93
04/2011,Total,2878553,29.22,8.37
03/2011,Total,2591352,13.43,7.54
02/2011,Total,2085091,14.11,6.06
01/2011,Total,2005395,19.92,5.83
12/2010,Total,2074851,7.86,7.11
11/2010,Total,2319644,15.15,7.94
10/2010,Total,2798176,18.12,9.58
09/2010,Total,2836908,12.99,9.72
08/2010,Total,3042550,5.39,10.42
07/2010,Total,2973359,5.14,10.18
06/2010,Total,2629043,5.20,9.00
05/2010,Total,2510841,5.16,8.60
04/2010,Total,2227708,-6.85,7.63
03/2010,Total,2284457,8.94,7.82
02/2010,Total,1827222,3.59,6.26
01/2010,Total,1672323,3.08,5.73
12/2009,Total,1923633,4.57,7.05
11/2009,Total,2014531,4.16,7.38
10/2009,Total,2368970,-4.13,8.68
09/2009,Total,2510813,-6.17,9.20
08/2009,Total,2886829,-7.50,10.58
07/2009,Total,2827945,-7.27,10.36
06/2009,Total,2499007,-10.90,9.16
05/2009,Total,2387682,-13.39,8.75
04/2009,Total,2391529,-7.47,8.76
03/2009,Total,2096934,-19.93,7.68
02/2009,Total,1763913,-21.37,6.46
01/2009,Total,1622370,-21.63,5.94
12/2008,Total,1839638,-16.60,6.10
11/2008,Total,1934113,-20.72,6.41
10/2008,Total,2471006,-16.08,8.19
09/2008,Total,2675943,-13.47,8.87
08/2008,Total,3120753,-8.22,10.34
07/2008,Total,3049808,-7.84,10.11
06/2008,Total,2804621,-6.61,9.30
05/2008,Total,2756887,-4.15,9.14
04/2008,Total,2584519,-5.41,8.57
03/2008,Total,2618852,2.67,8.68
02/2008,Total,2243267,4.59,7.44
01/2008,Total,2070256,3.16,6.86
12/2007,Total,2205865,2.14,6.74
11/2007,Total,2439535,8.09,7.46
10/2007,Total,2944555,8.67,9.00
09/2007,Total,3092344,10.96,9.46
08/2007,Total,3400105,13.82,10.40
07/2007,Total,3309086,16.25,10.12
06/2007,Total,3003091,9.30,9.18
05/2007,Total,2876168,7.05,8.79
04/2007,Total,2732373,5.88,8.35
03/2007,Total,2550643,9.43,7.80
02/2007,Total,2144896,11.21,6.56
01/2007,Total,2006786,10.59,6.14
12/2006,Total,2159589,,
11/2006,Total,2257023,,
10/2006,Total,2709654,,
09/2006,Total,2787000,,
08/2006,Total,2987144,,
07/2006,Total,2846445,,
06/2006,Total,2747455,,
05/2006,Total,2686757,,
04/2006,Total,2580541,,
03/2006,Total,2330814,,
02/2006,Total,1928734,,
01/2006,Total,1814557,,
12/2016,Nacional,847287,9.08,7.18
11/2016,Nacional,920701,12.39,7.80
10/2016,Nacional,1011802,8.22,8.57
09/2016,Nacional,1095427,10.18,9.28
08/2016,Nacional,1113006,6.51,9.43
07/2016,Nacional,1143050,7.26,9.68
06/2016,Nacional,1098052,14.59,9.30
05/2016,Nacional,1065716,14.30,9.03
04/2016,Nacional,996996,11.90,8.45
03/2016,Nacional,972268,15.59,8.24
02/2016,Nacional,799700,16.93,6.77
01/2016,Nacional,741517,13.45,6.28
12/2015,Nacional,776737,6.49,7.33
11/2015,Nacional,819171,7.42,7.73
10/2015,Nacional,934936,3.27,8.82
09/2015,Nacional,994185,3.53,9.38
08/2015,Nacional,1044979,4.86,9.86
07/2015,Nacional,1065680,5.09,10.06
06/2015,Nacional,958235,1.11,9.04
05/2015,Nacional,932369,4.82,8.80
04/2015,Nacional,890952,1.61,8.41
03/2015,Nacional,841102,0.84,7.94
02/2015,Nacional,683911,-0.13,6.45
01/2015,Nacional,653615,-2.40,6.17
12/2014,Nacional,729366,-1.32,7.10
11/2014,Nacional,762586,-0.15,7.42
10/2014,Nacional,905306,4.90,8.81
09/2014,Nacional,960245,6.75,9.35
08/2014,Nacional,996501,2.72,9.70
07/2014,Nacional,1014074,-0.54,9.87
06/2014,Nacional,947754,0.88,9.23
05/2014,Nacional,889532,-2.11,8.66
04/2014,Nacional,876871,1.57,8.54
03/2014,Nacional,834057,4.74,8.12
02/2014,Nacional,684804,-0.63,6.67
01/2014,Nacional,669682,-6.70,6.52
12/2013,Nacional,739138,-6.96,7.27
11/2013,Nacional,763758,-3.76,7.51
10/2013,Nacional,862987,-7.96,8.49
09/2013,Nacional,899504,-13.07,8.84
08/2013,Nacional,970107,-12.44,9.54
07/2013,Nacional,1019586,-10.85,10.03
06/2013,Nacional,939489,-11.78,9.24
05/2013,Nacional,908704,-12.20,8.94
04/2013,Nacional,863277,-9.43,8.49
03/2013,Nacional,796304,-15.27,7.83
02/2013,Nacional,689149,-11.50,6.78
01/2013,Nacional,717763,-13.83,7.06
12/2012,Nacional,794402,-17.35,6.96
11/2012,Nacional,793615,-19.85,6.95
10/2012,Nacional,937589,-11.05,8.21
09/2012,Nacional,1034781,-9.47,9.06
08/2012,Nacional,1107945,-5.94,9.70
07/2012,Nacional,1143617,-5.20,10.02
06/2012,Nacional,1064995,-5.79,9.33
05/2012,Nacional,1035026,-6.27,9.07
04/2012,Nacional,953132,-10.62,8.35
03/2012,Nacional,939819,-13.55,8.23
02/2012,Nacional,778723,-12.15,6.82
01/2012,Nacional,832991,1.09,7.30
12/2011,Nacional,961147,9.86,7.61
11/2011,Nacional,990213,0.70,7.84
10/2011,Nacional,1054044,-0.74,8.34
09/2011,Nacional,1143022,9.08,9.05
08/2011,Nacional,1177896,12.93,9.33
07/2011,Nacional,1206310,12.23,9.55
06/2011,Nacional,1130441,13.85,8.95
