localizacion,year,densidad,VAdensidad
Ciutat Vella,2006,25145,,
Eixample,2006,35408,,
Sants-Montjuïc,2006,8374,,
Les Corts,2006,13790,,
Sarrià-Sant Gervasi,2006,7038,,
Gràcia,2006,28867,,
Horta-Guinardó,2006,14147,,
Nou Barris,2006,20644,,
Sant Andreu,2006,21108,,
Sant Martí,2006,20640,,
Barcelona,2006,15834,,
Ciutat Vella,2007,24781,-1.45
Eixample,2007,34995,-1.17
Sants-Montjuïc,2007,8301,-0.87
Les Corts,2007,13604,-1.35
Sarrià-Sant Gervasi,2007,7019,-0.27
Gràcia,2007,28613,-0.88
Horta-Guinardó,2007,14045,-0.72
Nou Barris,2007,20622,-0.11
Sant Andreu,2007,21051,-0.27
Sant Martí,2007,20655,0.07
Barcelona,2007,15730,-0.66
Ciutat Vella,2008,24808,0.11
Eixample,2008,35448,1.29
Sants-Montjuïc,2008,8438,1.65
Les Corts,2008,13748,1.06
Sarrià-Sant Gervasi,2008,7097,1.11
Gràcia,2008,29068,1.59
Horta-Guinardó,2008,14202,1.12
Nou Barris,2008,20929,1.49
Sant Andreu,2008,21388,1.60
Sant Martí,2008,20965,1.50
Barcelona,2008,15935,1.30
Ciutat Vella,2009,23872,-3.77
Eixample,2009,35583,0.38
Sants-Montjuïc,2009,8483,0.53
Les Corts,2009,13825,0.56
Sarrià-Sant Gervasi,2009,7159,0.87
Gràcia,2009,29376,1.06
Horta-Guinardó,2009,14265,0.44
Nou Barris,2009,21022,0.44
Sant Andreu,2009,21548,0.75
Sant Martí,2009,21176,1.01
Barcelona,2009,15991,0.35
Ciutat Vella,2010,23223,-2.72
Eixample,2010,35438,-0.41
Sants-Montjuïc,2010,8507,0.28
Les Corts,2010,13813,-0.09
Sarrià-Sant Gervasi,2010,7190,0.43
Gràcia,2010,29283,-0.32
Horta-Guinardó,2010,14232,-0.23
Nou Barris,2010,20993,-0.14
Sant Andreu,2010,21594,0.21
Sant Martí,2010,21308,0.62
Barcelona,2010,15969,-0.14
Ciutat Vella,2011,23014,-0.90
Eixample,2011,35263,-0.49
Sants-Montjuïc,2011,8503,-0.05
Les Corts,2011,13739,-0.54
Sarrià-Sant Gervasi,2011,7191,0.01
Gràcia,2011,28938,-1.18
Horta-Guinardó,2011,14158,-0.52
Nou Barris,2011,20954,-0.19
Sant Andreu,2011,21672,0.36
Sant Martí,2011,21403,0.45
Barcelona,2011,15931,-0.24
Ciutat Vella,2012,23209,0.85
Eixample,2012,35443,0.51
Sants-Montjuïc,2012,8561,0.68
Les Corts,2012,13736,-0.02
Sarrià-Sant Gervasi,2012,7233,0.58
Gràcia,2012,29030,0.32
Horta-Guinardó,2012,14092,-0.47
Nou Barris,2012,20927,-0.13
Sant Andreu,2012,21684,0.06
Sant Martí,2012,21563,0.75
Barcelona,2012,15985,0.34
Ciutat Vella,2013,22964,-1.06
Eixample,2013,35304,-0.39
Sants-Montjuïc,2013,8496,-0.76
Les Corts,2013,13606,-0.95
Sarrià-Sant Gervasi,2013,7227,-0.08
Gràcia,2013,28797,-0.80
Horta-Guinardó,2013,13978,-0.81
Nou Barris,2013,20718,-1.00
Sant Andreu,2013,21595,-0.41
Sant Martí,2013,21557,-0.03
Barcelona,2013,15895,-0.56
Ciutat Vella,2014,22374,-2.57
Eixample,2014,35142,-0.46
Sants-Montjuïc,2014,8410,-1.01
Les Corts,2014,13533,-0.54
Sarrià-Sant Gervasi,2014,7251,0.33
Gràcia,2014,28636,-0.56
Horta-Guinardó,2014,13912,-0.47
Nou Barris,2014,20564,-0.74
Sant Andreu,2014,21468,-0.59
Sant Martí,2014,21539,-0.08
Barcelona,2014,15802,-0.59
Ciutat Vella,2015,22247,-0.57
Eixample,2015,35141,0.00
Sants-Montjuïc,2015,8407,-0.04
Les Corts,2015,13588,0.41
Sarrià-Sant Gervasi,2015,7305,0.74
Gràcia,2015,28666,0.10
Horta-Guinardó,2015,13879,-0.24
Nou Barris,2015,20581,0.08
Sant Andreu,2015,21543,0.35
Sant Martí,2015,21635,0.45
Barcelona,2015,15824,0.14
Ciutat Vella,2016,22237,-0.04
Eixample,2016,35240,0.28
Sants-Montjuïc,2016,8417,0.12
Les Corts,2016,13607,0.14
Sarrià-Sant Gervasi,2016,7364,0.81
Gràcia,2016,28790,0.43
Horta-Guinardó,2016,13939,0.43
Nou Barris,2016,20610,0.14
Sant Andreu,2016,21578,0.16
Sant Martí,2016,21660,0.12
Barcelona,2016,15865,0.26
