localizacion,rango,year,poblacion,porcentaje,variacionAnual
Ciutat Vella,de 0 a 20,2016,14202,14.19,0.289527576
Ciutat Vella,de 20-39,2016,39667,39.64,-0.57399238
Ciutat Vella,de 40-59,2016,28105,28.09,1.520733998
Ciutat Vella,de 60-79,2016,12799,12.79,-1.158390609
Ciutat Vella,más de 80,2016,5297,5.29,-2.359447005
Eixample,de 0 a 20,2016,38524,14.58,0.647925593
Eixample,de 20-39,2016,77415,29.29,-0.311626769
Eixample,de 40-59,2016,74096,28.03,0.667074248
Eixample,de 60-79,2016,51913,19.64,0.52671327
Eixample,más de 80,2016,22357,8.46,-0.098306448
Sants-Montjuïc,de 0 a 20,2016,28137,15.55,0.328044215
Sants-Montjuïc,de 20-39,2016,52586,29.06,-1.383992199
Sants-Montjuïc,de 40-59,2016,53359,29.48,1.030010414
Sants-Montjuïc,de 60-79,2016,33838,18.7,0.630464522
Sants-Montjuïc,más de 80,2016,13057,7.21,0.849617672
Les Corts,de 0 a 20,2016,13500,16.54,1.48849797
Les Corts,de 20-39,2016,20047,24.55,-2.433445272
Les Corts,de 40-59,2016,21934,26.87,0.412012452
Les Corts,de 60-79,2016,19534,23.93,1.107660455
Les Corts,más de 80,2016,6627,8.12,1.687893202
Sarrià-Sant Gervasi,de 0 a 20,2016,31265,21.12,1.004716676
Sarrià-Sant Gervasi,de 20-39,2016,34974,23.63,-0.285111479
Sarrià-Sant Gervasi,de 40-59,2016,41816,28.25,1.923123797
Sarrià-Sant Gervasi,de 60-79,2016,28199,19.05,0.088734294
Sarrià-Sant Gervasi,más de 80,2016,11772,7.95,1.439034899
Gràcia,de 0 a 20,2016,18654,15.43,1.584708381
Gràcia,de 20-39,2016,35633,29.47,-1.013945219
Gràcia,de 40-59,2016,33569,27.76,1.884788151
Gràcia,de 60-79,2016,23486,19.42,-0.148803197
Gràcia,más de 80,2016,9576,7.92,0.052241145
Horta-Guinardó,de 0 a 20,2016,27321,16.33,0.689172256
Horta-Guinardó,de 20-39,2016,41562,24.85,-1.437108708
Horta-Guinardó,de 40-59,2016,48822,29.19,2.014292281
Horta-Guinardó,de 60-79,2016,35458,21.2,-0.49670268
Horta-Guinardó,más de 80,2016,14105,8.43,2.477477477
Nou Barris,de 0 a 20,2016,28628,17.36,0.63627096
Nou Barris,de 20-39,2016,41067,24.91,-2.11655345
Nou Barris,de 40-59,2016,47283,28.68,1.810860859
Nou Barris,de 60-79,2016,34043,20.65,-0.815779506
Nou Barris,más de 80,2016,13860,8.41,2.811364142
Sant Andreu,de 0 a 20,2016,25814,17.59,0.863517368
Sant Andreu,de 20-39,2016,36967,25.19,-2.715860944
Sant Andreu,de 40-59,2016,43368,29.56,1.512101493
Sant Andreu,de 60-79,2016,30033,20.47,0.81232587
Sant Andreu,más de 80,2016,10549,7.19,1.54009048
Sant Martí,de 0 a 20,2016,41279,17.65,0.540711693
Sant Martí,de 20-39,2016,61396,26.25,-2.302563531
Sant Martí,de 40-59,2016,70487,30.13,1.519472289
Sant Martí,de 60-79,2016,44358,18.96,0.680920605
Sant Martí,más de 80,2016,16408,7.01,0.854385641
Barcelona,de 0 a 20,2016,267324,16.62,0.750757541
Barcelona,de 20-39,2016,441314,27.43,-1.373751008
Barcelona,de 40-59,2016,462839,28.77,1.415934633
Barcelona,de 60-79,2016,313661,19.5,0.199017372
Barcelona,más de 80,2016,123608,7.68,1.030675047
Ciutat Vella,de 0 a 20,2015,14161,14.14,-0.456909883
Ciutat Vella,de 20-39,2015,39896,39.85,-1.245080324
Ciutat Vella,de 40-59,2015,27684,27.65,1.276751418
Ciutat Vella,de 60-79,2015,12949,12.93,-1.386033052
Ciutat Vella,más de 80,2015,5425,5.42,-3.021094029
Eixample,de 0 a 20,2015,38276,14.52,0.267197569
Eixample,de 20-39,2015,77657,29.46,-1.080185975
Eixample,de 40-59,2015,73605,27.93,0.674307911
Eixample,de 60-79,2015,51641,19.59,0.423934815
Eixample,más de 80,2015,22379,8.49,0.125274037
Sants-Montjuïc,de 0 a 20,2015,28045,15.52,-0.344680549
Sants-Montjuïc,de 20-39,2015,53324,29.5,-1.694227827
Sants-Montjuïc,de 40-59,2015,52815,29.22,1.195608438
Sants-Montjuïc,de 60-79,2015,33626,18.6,0.151898734
