localizacion,personas,nacionalidad,year,variacionAnual,población,porcentaje,
Ciutat Vella,57036,España,2016,-0.918961174,100070,57.00,
Eixample,215062,España,2016,-0.480793703,264305,81.37,
Sants-Montjuïc,147285,España,2016,-0.320792642,180977,81.38,
Les Corts,72580,España,2016,-0.287131297,81642,88.90,
Sarrià-Sant Gervasi,131487,España,2016,0.172939205,148026,88.83,
Gràcia,102325,España,2016,-0.392298108,120918,84.62,
Horta-Guinardó,147984,España,2016,-0.078325456,167268,88.47,
Nou Barris,140563,España,2016,-0.391170322,164881,85.25,
Sant Andreu,130022,España,2016,-0.386129966,146731,88.61,
Sant Martí,198293,España,2016,-0.275597085,233928,84.77,
Ciutat Vella,4774,Italia,2016,8.426073132,100070,4.77,
Eixample,6546,Italia,2016,7.78857237,264305,2.48,
Sants-Montjuïc,2786,Italia,2016,6.620742442,180977,1.54,
Les Corts,919,Italia,2016,4.908675799,81642,1.13,
Sarrià-Sant Gervasi,2224,Italia,2016,5.753685212,148026,1.50,
Gràcia,2944,Italia,2016,6.013683831,120918,2.43,
Horta-Guinardó,1598,Italia,2016,9.979353063,167268,0.96,
Nou Barris,718,Italia,2016,4.817518248,164881,0.44,
Sant Andreu,906,Italia,2016,5.471478463,146731,0.62,
Sant Martí,3578,Italia,2016,6.742243437,233928,1.53,
Ciutat Vella,2178,francia,2016,5.93385214,100070,2.18,
Eixample,3378,francia,2016,6.226415094,264305,1.28,
Sants-Montjuïc,1334,francia,2016,7.754442649,180977,0.74,
Les Corts,755,francia,2016,8.477011494,81642,0.92,
Sarrià-Sant Gervasi,1919,francia,2016,11.05324074,148026,1.30,
Gràcia,1416,francia,2016,6.867924528,120918,1.17,
Horta-Guinardó,626,francia,2016,4.857621441,167268,0.37,
Nou Barris,216,francia,2016,1.886792453,164881,0.13,
Sant Andreu,280,francia,2016,6.870229008,146731,0.19,
Sant Martí,1569,francia,2016,6.734693878,233928,0.67,
Ciutat Vella,1499,Reino Unido,2016,6.236711552,100070,1.50,
Eixample,1673,Reino Unido,2016,5.220125786,264305,0.63,
Sants-Montjuïc,663,Reino Unido,2016,6.935483871,180977,0.37,
Les Corts,212,Reino Unido,2016,10.9947644,81642,0.26,
Sarrià-Sant Gervasi,670,Reino Unido,2016,7.028753994,148026,0.45,
Gràcia,837,Reino Unido,2016,5.283018868,120918,0.69,
Horta-Guinardó,326,Reino Unido,2016,10.13513514,167268,0.19,
Nou Barris,89,Reino Unido,2016,2.298850575,164881,0.05,
Sant Andreu,148,Reino Unido,2016,8.823529412,146731,0.10,
Sant Martí,863,Reino Unido,2016,6.674907293,233928,0.37,
Ciutat Vella,2561,Marruecos,2016,-3.576807229,100070,2.56,
Eixample,1046,Marruecos,2016,-0.853080569,264305,0.40,
Sants-Montjuïc,1963,Marruecos,2016,-2.677243431,180977,1.08,
Les Corts,227,Marruecos,2016,2.714932127,81642,0.28,
Sarrià-Sant Gervasi,306,Marruecos,2016,-7.831325301,148026,0.21,
Gràcia,520,Marruecos,2016,-0.952380952,120918,0.43,
Horta-Guinardó,979,Marruecos,2016,-2.490039841,167268,0.59,
Nou Barris,1710,Marruecos,2016,-1.611047181,164881,1.04,
Sant Andreu,1271,Marruecos,2016,-1.549186677,146731,0.87,
Sant Martí,1969,Marruecos,2016,-0.404653515,233928,0.84,
Ciutat Vella,574,Bolivia,2016,-2.214650767,100070,0.57,
Eixample,1224,Bolivia,2016,-6.778370145,264305,0.46,
Sants-Montjuïc,1430,Bolivia,2016,-3.833221251,180977,0.79,
Les Corts,263,Bolivia,2016,-3.663003663,81642,0.32,
Sarrià-Sant Gervasi,384,Bolivia,2016,0,148026,0.26,
Gràcia,451,Bolivia,2016,-6.818181818,120918,0.37,
Horta-Guinardó,1117,Bolivia,2016,-4.202401372,167268,0.67,
Nou Barris,1804,Bolivia,2016,-3.27077748,164881,1.09,
Sant Andreu,889,Bolivia,2016,-5.826271186,146731,0.61,
Sant Martí,1144,Bolivia,2016,-1.718213058,233928,0.49,
Ciutat Vella,453,Ecuador,2016,-1.307189542,100070,0.45,
Eixample,959,Ecuador,2016,5.500550055,264305,0.36,
Sants-Montjuïc,1201,Ecuador,2016,-1.070840198,180977,0.66,
Les Corts,217,Ecuador,2016,4.830917874,81642,0.27,
Sarrià-Sant Gervasi,214,Ecuador,2016,15.05376344,148026,0.14,
Gràcia,325,Ecuador,2016,3.174603175,120918,0.27,
Horta-Guinardó,966,Ecuador,2016,-2.226720648,167268,0.58,
Nou Barris,1889,Ecuador,2016,-3.524004086,164881,1.15,
Sant Andreu,867,Ecuador,2016,-6.168831169,146731,0.59,
Sant Martí,1017,Ecuador,2016,-2.305475504,233928,0.43,
Ciutat Vella,336,Perú,2016,2.752293578,100070,0.34,
Eixample,1459,Perú,2016,-2.473262032,264305,0.55,
Sants-Montjuïc,1117,Perú,2016,-1.845342707,180977,0.62,
Les Corts,312,Perú,2016,-1.577287066,81642,0.38,
Sarrià-Sant Gervasi,359,Perú,2016,0.279329609,148026,0.24,
Gràcia,460,Perú,2016,3.139013453,120918,0.38,
Horta-Guinardó,951,Perú,2016,-2.461538462,167268,0.57,
Nou Barris,947,Perú,2016,-4.439959637,164881,0.57,
Sant Andreu,937,Perú,2016,-2.598752599,146731,0.64,
Sant Martí,1077,Perú,2016,-3.147482014,233928,0.46,
Ciutat Vella,668,Colombia,2016,7.568438003,100070,0.67,
Eixample,1679,Colombia,2016,-0.592066311,264305,0.64,
Sants-Montjuïc,1055,Colombia,2016,-0.471698113,180977,0.58,
Les Corts,368,Colombia,2016,5.747126437,81642,0.45,
Sarrià-Sant Gervasi,422,Colombia,2016,7.37913486,148026,0.29,
Gràcia,523,Colombia,2016,0.770712909,120918,0.43,
Horta-Guinardó,814,Colombia,2016,-3.668639053,167268,0.49,
Nou Barris,815,Colombia,2016,0.991325898,164881,0.49,
Sant Andreu,612,Colombia,2016,-0.649350649,146731,0.42,
Sant Martí,974,Colombia,2016,-4.039408867,233928,0.42,
Ciutat Vella,6469,Pakistán,2016,-4.333037563,100070,6.46,
Eixample,1122,Pakistán,2016,-1.405975395,264305,0.42,
Sants-Montjuïc,3284,Pakistán,2016,-3.297997644,180977,1.81,
Les Corts,171,Pakistán,2016,-7.065217391,81642,0.21,
Sarrià-Sant Gervasi,206,Pakistán,2016,-4.186046512,148026,0.14,
Gràcia,393,Pakistán,2016,-1.007556675,120918,0.33,
Horta-Guinardó,895,Pakistán,2016,1.473922902,167268,0.54,
Nou Barris,1877,Pakistán,2016,-1.106427819,164881,1.14,
Sant Andreu,1446,Pakistán,2016,-3.6,146731,0.99,
Sant Martí,3329,Pakistán,2016,-3.70263234,233928,1.42,
Ciutat Vella,876,China,2016,-1.46231721,100070,0.88,
Eixample,5492,China,2016,0.255567725,264305,2.08,
Sants-Montjuïc,2393,China,2016,1.141166526,180977,1.32,
Les Corts,706,China,2016,11.00628931,81642,0.86,
Sarrià-Sant Gervasi,591,China,2016,5.913978495,148026,0.40,
Gràcia,861,China,2016,0.819672131,120918,0.71,
Horta-Guinardó,951,China,2016,-0.834202294,167268,0.57,
Nou Barris,1399,China,2016,0.719942405,164881,0.85,
Sant Andreu,1639,China,2016,-0.666666667,146731,1.12,
Sant Martí,3540,China,2016,3.237095363,233928,1.51,
Ciutat Vella,4496,Filipinas,2016,-1.446733889,100070,4.49,
Eixample,1384,Filipinas,2016,3.437967115,264305,0.52,
Sants-Montjuïc,1819,Filipinas,2016,2.421171171,180977,1.01,
Les Corts,86,Filipinas,2016,22.85714286,81642,0.11,
Sarrià-Sant Gervasi,294,Filipinas,2016,0,148026,0.20,
Gràcia,120,Filipinas,2016,-1.639344262,120918,0.10,
Horta-Guinardó,123,Filipinas,2016,3.361344538,167268,0.07,
Nou Barris,112,Filipinas,2016,2.752293578,164881,0.07,
Sant Andreu,71,Filipinas,2016,-1.388888889,146731,0.05,
Sant Martí,177,Filipinas,2016,0,233928,0.08,
Ciutat Vella,643,Rumanía,2016,7.166666667,100070,0.64,
Eixample,897,Rumanía,2016,3.699421965,264305,0.34,
Sants-Montjuïc,1027,Rumanía,2016,1.884920635,180977,0.57,
Les Corts,241,Rumanía,2016,2.991452991,81642,0.30,
Sarrià-Sant Gervasi,261,Rumanía,2016,-0.760456274,148026,0.18,
Gràcia,410,Rumanía,2016,4.325699746,120918,0.34,
Horta-Guinardó,859,Rumanía,2016,6.180469716,167268,0.51,
Nou Barris,892,Rumanía,2016,3.962703963,164881,0.54,
Sant Andreu,711,Rumanía,2016,0.565770863,146731,0.48,
Sant Martí,1088,Rumanía,2016,1.209302326,233928,0.47,
Ciutat Vella,57565,España,2015,-0.995803522,100115,57.50,
Eixample,216101,España,2015,-0.219783264,263558,81.99,
Sants-Montjuïc,147759,España,2015,-0.141246756,180757,81.74,
Les Corts,72789,España,2015,0.406930229,81530,89.28,
Sarrià-Sant Gervasi,131260,España,2015,0.823424586,146834,89.39,
Gràcia,102728,España,2015,0.27624579,120401,85.32,
Horta-Guinardó,148100,España,2015,0.306133507,166559,88.92,
Nou Barris,141115,España,2015,0.04040891,164648,85.71,
Sant Andreu,130526,España,2015,0.516730199,146494,89.10,
Sant Martí,198841,España,2015,0.066932383,233659,85.10,
Ciutat Vella,4403,Italia,2015,-2.177293935,100115,4.40,
Eixample,6073,Italia,2015,-5.74266646,263558,2.30,
Sants-Montjuïc,2613,Italia,2015,-0.381242852,180757,1.45,
Les Corts,876,Italia,2015,-4.471101418,81530,1.07,
Sarrià-Sant Gervasi,2103,Italia,2015,-3.752860412,146834,1.43,
Gràcia,2777,Italia,2015,-2.969951083,120401,2.31,
Horta-Guinardó,1453,Italia,2015,-1.691474966,166559,0.87,
Nou Barris,685,Italia,2015,-5.64738292,164648,0.42,
Sant Andreu,859,Italia,2015,-1.264367816,146494,0.59,
Sant Martí,3352,Italia,2015,-2.159953298,233659,1.43,
Ciutat Vella,2056,francia,2015,-6.502955889,100115,2.05,
Eixample,3180,francia,2015,-5.046282472,263558,1.21,
Sants-Montjuïc,1238,francia,2015,-4.769230769,180757,0.68,
Les Corts,696,francia,2015,-8.179419525,81530,0.85,
Sarrià-Sant Gervasi,1728,francia,2015,-8.812664908,146834,1.18,
Gràcia,1325,francia,2015,-2.645113887,120401,1.10,
Horta-Guinardó,597,francia,2015,-8.012326656,166559,0.36,
Nou Barris,212,francia,2015,-4.504504505,164648,0.13,
Sant Andreu,262,francia,2015,-2.23880597,146494,0.18,
Sant Martí,1470,francia,2015,-4.545454545,233659,0.63,
Ciutat Vella,1411,Reino Unido,2015,-3.223593964,100115,1.41,
Eixample,1590,Reino Unido,2015,-5.413444378,263558,0.60,
Sants-Montjuïc,620,Reino Unido,2015,-5.918057663,180757,0.34,
Les Corts,191,Reino Unido,2015,-15.85903084,81530,0.23,
Sarrià-Sant Gervasi,626,Reino Unido,2015,-6.567164179,146834,0.43,
Gràcia,795,Reino Unido,2015,-5.469678954,120401,0.66,
Horta-Guinardó,296,Reino Unido,2015,-7.5,166559,0.18,
Nou Barris,87,Reino Unido,2015,-9.375,164648,0.05,
Sant Andreu,136,Reino Unido,2015,-0.729927007,146494,0.09,
Sant Martí,809,Reino Unido,2015,-5.269320843,233659,0.35,
Ciutat Vella,2656,Marruecos,2015,-3.488372093,100115,2.65,
Eixample,1055,Marruecos,2015,1.637764933,263558,0.40,
Sants-Montjuïc,2017,Marruecos,2015,-3.307766059,180757,1.12,
Les Corts,221,Marruecos,2015,0,81530,0.27,
Sarrià-Sant Gervasi,332,Marruecos,2015,-4.597701149,146834,0.23,
Gràcia,525,Marruecos,2015,-2.234636872,120401,0.44,
Horta-Guinardó,1004,Marruecos,2015,0.500500501,166559,0.60,
Nou Barris,1738,Marruecos,2015,-0.172314762,164648,1.06,
Sant Andreu,1291,Marruecos,2015,1.175548589,146494,0.88,
Sant Martí,1977,Marruecos,2015,1.488706366,233659,0.85,
Ciutat Vella,587,Bolivia,2015,-5.929487179,100115,0.59,
Eixample,1313,Bolivia,2015,-12.05626256,263558,0.50,
Sants-Montjuïc,1487,Bolivia,2015,-4.984025559,180757,0.82,
Les Corts,273,Bolivia,2015,-10.49180328,81530,0.33,
Sarrià-Sant Gervasi,384,Bolivia,2015,-9.647058824,146834,0.26,
Gràcia,484,Bolivia,2015,-11.02941176,120401,0.40,
Horta-Guinardó,1166,Bolivia,2015,-8.477237049,166559,0.70,
Nou Barris,1865,Bolivia,2015,-9.201557936,164648,1.13,
Sant Andreu,944,Bolivia,2015,-9.751434034,146494,0.64,
Sant Martí,1164,Bolivia,2015,-7.398568019,233659,0.50,
Ciutat Vella,459,Ecuador,2015,-13.39622642,100115,0.46,
Eixample,909,Ecuador,2015,-10.70726916,263558,0.34,
Sants-Montjuïc,1214,Ecuador,2015,-8.721804511,180757,0.67,
