localizacion,year,precioViviendaNueva,VAViviendaNueva,precioViviendaSegundaMano,VASegundaMano,PrecioViviendaAlquiler,VAAlquiler
Ciutat Vella,2006,5826,,4563,,10.83,
Eixample,2006,7439,,5072,,9.89,
Sants-Montjuïc,2006,5270,,4316,,10.00,
Les Corts,2006,6303,,5476,,11.52,
Sarrià-Sant Gervasi,2006,8350,,5647,,10.77,
Gràcia,2006,5749,,4724,,11.06,
Horta-Guinardó,2006,4872,,4094,,10.11,
Nou Barris,2006,4309,,3717,,9.45,
Sant Andreu,2006,4734,,4215,,9.54,
Sant Martí,2006,5107,,4581,,10.09,
Barcelona,2006,5791,,4709,,10.31,
Ciutat Vella,2007,6864,17.82,4465,-2.15,11.82,9.14
Eixample,2007,7005,-5.83,4992,-1.58,11.10,12.23
Sants-Montjuïc,2007,5195,-1.42,4281,-0.81,11.04,10.4
Les Corts,2007,8877,40.84,5357,-2.17,12.40,7.64
Sarrià-Sant Gervasi,2007,9301,11.39,5725,1.38,12.05,11.88
Gràcia,2007,5598,-2.63,4607,-2.48,12.40,12.12
Horta-Guinardó,2007,4759,-2.32,3977,-2.86,11.00,8.8
Nou Barris,2007,4436,2.95,3590,-3.42,10.64,12.59
Sant Andreu,2007,4774,0.84,3948,-6.33,10.84,13.63
Sant Martí,2007,5215,2.11,4378,-4.43,11.32,12.19
Barcelona,2007,5952,2.78,4617,-1.95,11.44,10.96
Ciutat Vella,2008,6801,-0.92,3947,-11.6,12.40,4.91
Eixample,2008,7089,1.2,4495,-9.96,11.60,4.5
Sants-Montjuïc,2008,4492,-13.53,3652,-14.69,11.90,7.79
Les Corts,2008,10517,18.47,4950,-7.6,12.90,4.03
Sarrià-Sant Gervasi,2008,8589,-7.66,5434,-5.08,12.90,7.05
Gràcia,2008,5747,2.66,4118,-10.61,12.80,3.23
Horta-Guinardó,2008,5040,5.9,3474,-12.65,11.40,3.64
Nou Barris,2008,4311,-2.82,3200,-10.86,11.20,5.26
Sant Andreu,2008,4786,0.25,3438,-12.92,11.10,2.4
Sant Martí,2008,5463,4.76,3981,-9.07,11.60,2.47
Barcelona,2008,5918,-0.57,4222,-8.56,11.90,4.02
Ciutat Vella,2009,6854,0.78,3576,-9.4,12.40,0
Eixample,2009,6470,-8.73,4269,-5.03,11.60,0
Sants-Montjuïc,2009,4158,-7.44,3427,-6.16,11.90,0
Les Corts,2009,10358,-1.51,4544,-8.2,12.90,0
Sarrià-Sant Gervasi,2009,7817,-8.99,5094,-6.26,12.90,0
Gràcia,2009,4900,-14.74,3895,-5.42,12.80,0
Horta-Guinardó,2009,4310,-14.48,3250,-6.45,11.40,0
Nou Barris,2009,3660,-15.1,2871,-10.28,11.20,0
Sant Andreu,2009,4413,-7.79,3161,-8.06,11.10,0
Sant Martí,2009,4729,-13.44,3710,-6.81,11.60,0
Barcelona,2009,5442,-8.04,3966,-6.06,11.90,0
