gradoOcupacion,fecha,variacionAnual,filtro
55.6,12/2016,16.32,barcelona
61.3,11/2016,3.37,barcelona
74.5,10/2016,0.00,barcelona
77.8,09/2016,0.39,barcelona
85,08/2016,-1.05,barcelona
83.5,07/2016,2.58,barcelona
75.5,06/2016,0.40,barcelona
75.7,05/2016,-0.66,barcelona
73.1,04/2016,-0.27,barcelona
65.5,03/2016,6.85,barcelona
56.5,02/2016,9.92,barcelona
48.1,01/2016,11.60,barcelona
47.8,12/2015,1.49,barcelona
59.3,11/2015,9.81,barcelona
74.5,10/2015,2.62,barcelona
77.5,09/2015,3.33,barcelona
85.9,08/2015,2.02,barcelona
81.4,07/2015,2.13,barcelona
75.2,06/2015,3.58,barcelona
76.2,05/2015,3.25,barcelona
73.3,04/2015,5.77,barcelona
61.3,03/2015,3.55,barcelona
51.4,02/2015,5.11,barcelona
43.1,01/2015,8.29,barcelona
47.1,12/2014,5.37,barcelona
54,11/2014,1.50,barcelona
72.6,10/2014,0.69,barcelona
75,09/2014,3.59,barcelona
84.2,08/2014,0.12,barcelona
79.7,07/2014,0.63,barcelona
72.6,06/2014,1.40,barcelona
73.8,05/2014,0.27,barcelona
69.3,04/2014,1.61,barcelona
59.2,03/2014,0.00,barcelona
48.9,02/2014,-2.59,barcelona
39.8,01/2014,1.79,barcelona
44.7,12/2013,12.03,barcelona
53.2,11/2013,-0.19,barcelona
72.1,10/2013,-0.14,barcelona
72.4,09/2013,-3.47,barcelona
84.1,08/2013,1.69,barcelona
79.2,07/2013,-4.69,barcelona
71.6,06/2013,-1.10,barcelona
73.6,05/2013,4.55,barcelona
68.2,04/2013,-9.19,barcelona
59.2,03/2013,-1.82,barcelona
50.2,02/2013,-4.38,barcelona
39.1,01/2013,-4.17,barcelona
39.9,12/2012,-10.34,barcelona
53.3,11/2012,-2.91,barcelona
72.2,10/2012,-1.37,barcelona
75,09/2012,0.81,barcelona
82.7,08/2012,0.24,barcelona
83.1,07/2012,-0.60,barcelona
72.4,06/2012,-1.76,barcelona
70.4,05/2012,-2.09,barcelona
75.1,04/2012,4.31,barcelona
60.3,03/2012,0.33,barcelona
52.5,02/2012,1.16,barcelona
40.8,01/2012,0.00,barcelona
44.5,12/2011,-2.20,barcelona
54.9,11/2011,-0.18,barcelona
73.2,10/2011,2.95,barcelona
74.4,09/2011,4.35,barcelona
82.5,08/2011,3.77,barcelona
83.6,07/2011,5.82,barcelona
73.7,06/2011,14.62,barcelona
71.9,05/2011,5.74,barcelona
72,04/2011,7.14,barcelona
60.1,03/2011,3.26,barcelona
51.9,02/2011,4.01,barcelona
40.8,01/2011,7.09,barcelona
45.5,12/2010,4.12,barcelona
55,11/2010,4.96,barcelona
71.1,10/2010,8.38,barcelona
71.3,09/2010,5.47,barcelona
79.5,08/2010,4.19,barcelona
79,07/2010,8.07,barcelona
64.3,06/2010,-0.77,barcelona
68,05/2010,3.34,barcelona
67.2,04/2010,1.97,barcelona
58.2,03/2010,8.38,barcelona
49.9,02/2010,-2.35,barcelona
38.1,01/2010,-7.07,barcelona
43.7,12/2009,1.39,barcelona
52.4,11/2009,-0.76,barcelona
65.6,10/2009,0.31,barcelona
67.6,09/2009,-1.31,barcelona
76.3,08/2009,2.28,barcelona
73.1,07/2009,1.67,barcelona
64.8,06/2009,0.00,barcelona
65.8,05/2009,-4.78,barcelona
65.9,04/2009,-1.35,barcelona
53.7,03/2009,-14.76,barcelona
51.1,02/2009,-11.44,barcelona
41,01/2009,-10.48,barcelona
43.1,12/2008,-11.13,barcelona
52.8,11/2008,-14.98,barcelona
65.4,10/2008,-9.79,barcelona
68.5,09/2008,-3.79,barcelona
74.6,08/2008,-2.10,barcelona
71.9,07/2008,-1.37,barcelona
64.8,06/2008,-6.36,barcelona
69.1,05/2008,0.73,barcelona
66.8,04/2008,-6.83,barcelona
63,03/2008,-0.79,barcelona
57.7,02/2008,0.17,barcelona
45.8,01/2008,-4.18,barcelona
48.5,12/2007,0.83,barcelona
62.1,11/2007,1.97,barcelona
72.5,10/2007,3.13,barcelona
71.2,09/2007,0.71,barcelona
76.2,08/2007,4.10,barcelona
72.9,07/2007,2.68,barcelona
69.2,06/2007,4.53,barcelona
68.6,05/2007,0.15,barcelona
71.7,04/2007,1.99,barcelona
63.5,03/2007,2.92,barcelona
57.6,02/2007,0.88,barcelona
47.8,01/2007,5.05,barcelona
48.1,12/2006,,barcelona
60.9,11/2006,,barcelona
70.3,10/2006,,barcelona
70.7,09/2006,,barcelona
73.2,08/2006,,barcelona
71,07/2006,,barcelona
66.2,06/2006,,barcelona
68.5,05/2006,,barcelona
70.3,04/2006,,barcelona
61.7,03/2006,,barcelona
57.1,02/2006,,barcelona
45.5,01/2006,,barcelona
