year,numero,tipoAlojamiento,porcentaje,variacionAnual
2015,20917,total_1a3,28.67,1.03
2014,20704,total_1a3,29.16,0.25
2013,20653,total_1a3,29.88,3.99
2012,19860,total_1a3,30.47,6.49
2011,18650,total_1a3,29.46,3.78
2010,17971,total_1a3,29.09,3.83
2009,17308,total_1a3,29.34,8.17
2008,16001,total_1a3,30.48,8.46
2007,14753,total_1a3,31.20,-0.42
2006,14815,total_1a3,32.18,
2015,45898,total_4y5,62.92,3.00
2014,44560,total_4y5,62.75,4.13
2013,42792,total_4y5,61.90,7.06
2012,39971,total_4y5,61.32,1.83
2011,39251,total_4y5,62.01,1.91
2010,38516,total_4y5,62.35,5.93
2009,36360,total_4y5,61.63,16.19
2008,31294,total_4y5,59.62,15.11
2007,27185,total_4y5,57.49,4.71
2006,25963,total_4y5,56.40,
2015,6131,pensionesHostales,8.40,6.64
2014,5749,pensionesHostales,8.10,1.16
2013,5683,pensionesHostales,8.22,6.11
2012,5356,pensionesHostales,8.22,-0.83
2011,5401,pensionesHostales,8.53,2.23
2010,5283,pensionesHostales,8.55,-0.94
2009,5333,pensionesHostales,9.04,2.62
2008,5197,pensionesHostales,9.90,-2.81
2007,5347,pensionesHostales,11.31,1.69
2006,5258,pensionesHostales,11.42,
