museusColeccions,visitantes,year
Museu FC Barcelona,1785903,2015
L'Aquàrium de Barcelona,1549480,2015
El Born Centre Cultural,1486228,2015
Museu Picasso,1008125,2015
Parc Zoològic de Barcelona,1004069,2015
Museu d'Història de Barcelona MUHBA,916517,2015
CosmoCaixa Barcelona,733778,2015
Museu Nacional d'Art de Catalunya MNAC,717211,2015
Fundació Joan Miró,451559,2015
Museu d'Art Contemporani de Barcelona MACBA,321366,2015
Museu Egipci de Barcelona,253931,2015
Museu Marítim de Barcelona MMB,219115,2015
Museu del Disseny de Barcelona,216792,2015
Fundació Fran Daurel,212358,2015
Museu de Cera de Barcelona,189320,2015
Museu Blau,180236,2015
Museu d'Història de Catalunya,147207,2015
Museu dels Autòmats del Tibidabo,140221,2015
Museu de la Xocolata,138335,2015
