year,porcentaje,franjaEdad,variacionAnual
2006,1.1,de 15 a 17,
2007,0.6,de 15 a 17,-45.45
2008,0.7,de 15 a 17,16.67
2009,0.5,de 15 a 17,-28.57
2010,0.6,de 15 a 17,20.00
2011,0.2,de 15 a 17,-66.67
2012,0.7,de 15 a 17,250.00
2013,0.6,de 15 a 17,-14.29
2014,0.7,de 15 a 17,16.67
2015,0.8,de 15 a 17,14.29
2016,0.8,de 15 a 17,0.00
2006,7.7,de 18 a 24,
2007,5.2,de 18 a 24,-32.47
2008,3.8,de 18 a 24,-26.92
2009,2.9,de 18 a 24,-23.68
2010,3.3,de 18 a 24,13.79
2011,3.9,de 18 a 24,18.18
2012,2.8,de 18 a 24,-28.21
2013,3,de 18 a 24,7.14
2014,9.8,de 18 a 24,226.67
2015,8.9,de 18 a 24,-9.18
2016,8.7,de 18 a 24,-2.25
2006,31.8,de 25 a 34,
2007,24.3,de 25 a 34,-23.58
2008,20.8,de 25 a 34,-14.40
2009,19.9,de 25 a 34,-4.33
2010,21.6,de 25 a 34,8.54
2011,19.3,de 25 a 34,-10.65
2012,14,de 25 a 34,-27.46
2013,15.1,de 25 a 34,7.86
2014,29.5,de 25 a 34,95.36
2015,25,de 25 a 34,-15.25
2016,26.9,de 25 a 34,7.60
2006,32.3,de 35 a 44,
2007,37.7,de 35 a 44,16.72
2008,37.4,de 35 a 44,-0.80
2009,38.5,de 35 a 44,2.94
2010,34.4,de 35 a 44,-10.65
2011,36.3,de 35 a 44,5.52
2012,35.8,de 35 a 44,-1.38
2013,34.9,de 35 a 44,-2.51
2014,24.8,de 35 a 44,-28.94
2015,24.2,de 35 a 44,-2.42
2016,28.7,de 35 a 44,18.60
2006,19.1,de 45 a 54,
2007,25.2,de 45 a 54,31.94
2008,26.7,de 45 a 54,5.95
2009,27.4,de 45 a 54,2.62
2010,27.7,de 45 a 54,1.09
2011,28.8,de 45 a 54,3.97
2012,30.1,de 45 a 54,4.51
2013,31.7,de 45 a 54,5.32
2014,21.3,de 45 a 54,-32.81
2015,22,de 45 a 54,3.29
2016,20.4,de 45 a 54,-7.27
2006,8,55 o mas,
2007,7,55 o mas,-12.50
2008,10.6,55 o mas,51.43
2009,10.8,55 o mas,1.89
2010,12.4,55 o mas,14.81
2011,11.5,55 o mas,-7.26
2012,16.6,55 o mas,44.35
2013,14.7,55 o mas,-11.45
2014,13.9,55 o mas,-5.44
2015,19.1,55 o mas,37.41
2016,14.5,55 o mas,-24.08
