Gasto,year,euros,variacionAnual
transporte,2006,346.58,
transporte,2007,234,-32.48
transporte,2008,282.7,20.81
transporte,2009,211.1,-25.33
transporte,2010,237.02,12.28
transporte,2011,256.13,8.06
transporte,2012,275.17,7.43
transporte,2013,361.92,31.53
transporte,2014,325.2,-10.15
transporte,2015,370.9,14.05
transporte,2016,369.2,-0.46
alojamiento,2006,103.78,
alojamiento,2007,95.6,-7.88
alojamiento,2008,83,-13.18
alojamiento,2009,93.1,12.17
alojamiento,2010,91.15,-2.09
alojamiento,2011,102.8,12.78
alojamiento,2012,99.85,-2.87
alojamiento,2013,101.97,2.12
alojamiento,2014,80.6,-20.96
alojamiento,2015,99,22.83
alojamiento,2016,101.5,2.53
estancia,2006,102.45,
estancia,2007,95.5,-6.78
estancia,2008,96.1,0.63
estancia,2009,93.4,-2.81
estancia,2010,96.84,3.68
estancia,2011,106.68,10.16
estancia,2012,110.22,3.32
estancia,2013,113.14,2.65
estancia,2014,89.1,-21.25
estancia,2015,99.6,11.78
estancia,2016,95,-4.62
