year,sexo,porcentaje,variacionAnual
2006,hombres,63.1,
2007,hombres,63.1,0.00
2008,hombres,60.2,-4.60
2009,hombres,60.1,-0.17
2010,hombres,60.4,0.50
2011,hombres,62.4,3.31
2012,hombres,58.7,-5.93
2013,hombres,58.3,-0.68
2014,hombres,63.3,8.58
2015,hombres,64.8,2.37
2016,hombres,64.5,-0.46
2006,mujeres,36.9,
2007,mujeres,36.9,0.00
2008,mujeres,39.8,7.86
2009,mujeres,39.9,0.25
2010,mujeres,39.6,-0.75
2011,mujeres,37.6,-5.05
2012,mujeres,41.3,9.84
2013,mujeres,41.7,0.97
2014,mujeres,36.7,-11.99
2015,mujeres,35.2,-4.09
2016,mujeres,35.5,0.85
