year,numero,reunion,variacionAnual
2006,310132,congresos,
2007,394689,congresos,27.26
2008,340527,congresos,-13.72
2009,342801,congresos,0.67
2010,302561,congresos,-11.74
2011,291307,congresos,-3.72
2012,208271,congresos,-28.50
2013,289191,congresos,38.85
2014,280747,congresos,-2.92
2015,319754,congresos,13.89
2016,317140,congresos,-0.82
2006,180896,convenciones,
2007,235015,convenciones,29.92
2008,312141,convenciones,32.82
2009,233356,convenciones,-25.24
2010,271152,convenciones,16.20
2011,356386,convenciones,31.43
2012,389339,convenciones,9.25
2013,294765,convenciones,-24.29
2014,275600,convenciones,-6.50
2015,252879,convenciones,-8.24
2016,253702,convenciones,0.33
