localizacion;year;resultado
Ciutat Vella;2001;100000
Ciutat Vella;2002;95000
Ciutat Vella;2003;110255
Ciutat Vella;2004;113855
Ciutat Vella;2005;102365
Ciutat Vella;2006;107522
Ciutat Vella;2007;106222
Ciutat Vella;2008;109000
Ciutat Vella;2009;115058
Ciutat Vella;2010;111254
Ciutat Vella;2011;115687
Ciutat Vella;2012;116252
Ciutat Vella;2013;114321
Ciutat Vella;2014;117258
Ciutat Vella;2015;117578
Ciutat Vella;2016;120658
Eixample;2001;115120
Eixample;2002;106207
Eixample;2003;88424
Eixample;2004;107872
Eixample;2005;93461
Eixample;2006;87479
Eixample;2007;106453
Eixample;2008;88640
Eixample;2009;86794
Eixample;2010;117264
Eixample;2011;87439
Eixample;2012;97264
Eixample;2013;98419
Eixample;2014;98378
Eixample;2015;103424
Eixample;2016;108106
