localizacion,poblacion,year,densidad,porcentaje
Ciutat Vella,87419,2001,19426,5.81
Eixample,249829,2001,33310,16.61
Sants-Montjuïc,166663,2001,7751,11.08
Les Corts,80717,2001,13452,5.37
Sarrià-Sant Gervasi,132764,2001,6605,8.83
Gràcia,114400,2001,27238,7.61
Horta-Guinardó,166010,2001,13834,11.04
Nou Barris,162162,2001,20270,10.78
Sant Andreu,135963,2001,19994,9.04
Sant Martí,207957,2001,19255,13.83
Barcelona,1503884,2001,14831,100
Ciutat Vella,97282,2002,21618,6.37
Eixample,251497,2002,33532,16.47
Sants-Montjuïc,169821,2002,7898,11.12
Les Corts,81951,2002,13658,5.37
Sarrià-Sant Gervasi,134241,2002,6678,8.79
Gràcia,114853,2002,27345,7.52
Horta-Guinardó,166655,2002,13887,10.91
Nou Barris,164309,2002,20538,10.76
Sant Andreu,136867,2002,20127,8.96
Sant Martí,209714,2002,19417,13.73
Barcelona,1527190,2002,15061,100
Ciutat Vella,106722,2003,23716,6.74
Eixample,262044,2003,34939,16.56
Sants-Montjuïc,176080,2003,8189,11.13
Les Corts,83627,2003,13937,5.28
Sarrià-Sant Gervasi,139506,2003,6940,8.81
Gràcia,119216,2003,28384,7.53
Horta-Guinardó,170263,2003,14188,10.76
Nou Barris,166627,2003,20828,10.53
Sant Andreu,140850,2003,20713,8.9
Sant Martí,217803,2003,20166,13.76
Barcelona,1582738,2003,15608,100
Ciutat Vella,107605,2004,23912,6.82
Eixample,260237,2004,34698,16.49
Sants-Montjuïc,176027,2004,8187,11.15
Les Corts,82546,2004,13757,5.23
Sarrià-Sant Gervasi,138656,2004,6898,8.78
Gràcia,119210,2004,28383,7.55
Horta-Guinardó,169739,2004,14144,10.75
Nou Barris,165368,2004,20671,10.48
Sant Andreu,141154,2004,20757,8.94
Sant Martí,218004,2004,20185,13.81
Barcelona,1578546,2004,15567,100
Ciutat Vella,111290,2005,24731,6.99
Eixample,262485,2005,34998,16.48
Sants-Montjuïc,177636,2005,8262,11.15
Les Corts,82588,2005,13764,5.18
Sarrià-Sant Gervasi,140461,2005,6988,8.82
Gràcia,120087,2005,28592,7.54
Horta-Guinardó,169920,2005,14160,10.67
Nou Barris,164981,2005,20622,10.36
Sant Andreu,142598,2005,20970,8.95
Sant Martí,221029,2005,20465,13.87
Barcelona,1593075,2005,15710,100
Ciutat Vella,113154,2006,25145,7.05
Eixample,265561,2006,35408,16.54
Sants-Montjuïc,180044,2006,8374,11.21
Les Corts,82745,2006,13790,5.15
Sarrià-Sant Gervasi,141469,2006,7038,8.81
Gràcia,121245,2006,28867,7.55
Horta-Guinardó,169774,2006,14147,10.57
Nou Barris,165156,2006,20644,10.29
Sant Andreu,143540,2006,21108,8.94
Sant Martí,222914,2006,20640,13.88
Barcelona,1605602,2006,15834,100
Ciutat Vella,111518,2007,24781,6.99
