localizacion,poblacion,year,densidad
Ciutat Vella,87419,2001,19426
Eixample,249829,2001,33310
Sants-Montjuïc,166663,2001,7751
Les Corts,80717,2001,13452
Sarrià-Sant Gervasi,132764,2001,6605
Gràcia,114400,2001,27238
Horta-Guinardó,166010,2001,13834
Nou Barris,162162,2001,20270
Sant Andreu,135963,2001,19994
Sant Martí,207957,2001,19255
Barcelona,1503884,2001,14831
Ciutat Vella,97282,2002,21618
Eixample,251497,2002,33532
Sants-Montjuïc,169821,2002,7898
Les Corts,81951,2002,13658
Sarrià-Sant Gervasi,134241,2002,6678
Gràcia,114853,2002,27345
Horta-Guinardó,166655,2002,13887
Nou Barris,164309,2002,20538
Sant Andreu,136867,2002,20127
Sant Martí,209714,2002,19417
Barcelona,1527190,2002,15061
Ciutat Vella,106722,2003,23716
Eixample,262044,2003,34939
Sants-Montjuïc,176080,2003,8189
Les Corts,83627,2003,13937
Sarrià-Sant Gervasi,139506,2003,6940
Gràcia,119216,2003,28384
Horta-Guinardó,170263,2003,14188
Nou Barris,166627,2003,20828
Sant Andreu,140850,2003,20713
Sant Martí,217803,2003,20166
Barcelona,1582738,2003,15608
Ciutat Vella,107605,2004,23912
Eixample,260237,2004,34698
Sants-Montjuïc,176027,2004,8187
Les Corts,82546,2004,13757
Sarrià-Sant Gervasi,138656,2004,6898
Gràcia,119210,2004,28383
Horta-Guinardó,169739,2004,14144
Nou Barris,165368,2004,20671
Sant Andreu,141154,2004,20757
Sant Martí,218004,2004,20185
Barcelona,1578546,2004,15567
Ciutat Vella,111290,2005,24731
Eixample,262485,2005,34998
Sants-Montjuïc,177636,2005,8262
Les Corts,82588,2005,13764
Sarrià-Sant Gervasi,140461,2005,6988
Gràcia,120087,2005,28592
Horta-Guinardó,169920,2005,14160
Nou Barris,164981,2005,20622
Sant Andreu,142598,2005,20970
Sant Martí,221029,2005,20465
Barcelona,1593075,2005,15710
Ciutat Vella,113154,2006,25145
Eixample,265561,2006,35408
Sants-Montjuïc,180044,2006,8374
Les Corts,82745,2006,13790
Sarrià-Sant Gervasi,141469,2006,7038
Gràcia,121245,2006,28867
Horta-Guinardó,169774,2006,14147
Nou Barris,165156,2006,20644
Sant Andreu,143540,2006,21108
Sant Martí,222914,2006,20640
Barcelona,1605602,2006,15834
Ciutat Vella,111518,2007,24781
Eixample,262469,2007,34995
Sants-Montjuïc,178482,2007,8301
Les Corts,81628,2007,13604
Sarrià-Sant Gervasi,141091,2007,7019
Gràcia,120177,2007,28613
Horta-Guinardó,168541,2007,14045
Nou Barris,164982,2007,20622
Sant Andreu,143148,2007,21051
Sant Martí,223074,2007,20655
Barcelona,1595110,2007,15730
Ciutat Vella,111636,2008,24808
Eixample,265866,2008,35448
Sants-Montjuïc,181432,2008,8438
Les Corts,82489,2008,13748
Sarrià-Sant Gervasi,142665,2008,7097
Gràcia,122088,2008,29068
Horta-Guinardó,170427,2008,14202
Nou Barris,167433,2008,20929
Sant Andreu,145443,2008,21388
Sant Martí,226429,2008,20965
Barcelona,1615908,2008,15935
Ciutat Vella,107426,2009,23872
Eixample,266874,2009,35583
Sants-Montjuïc,182395,2009,8483
Les Corts,82952,2009,13825
Sarrià-Sant Gervasi,143911,2009,7159
Gràcia,123383,2009,29376
Horta-Guinardó,171186,2009,14265
Nou Barris,168181,2009,21022
Sant Andreu,146528,2009,21548
Sant Martí,228701,2009,21176
Barcelona,1621537,2009,15991
Ciutat Vella,104507,2010,23223
Eixample,265785,2010,35438
Sants-Montjuïc,182914,2010,8507
Les Corts,82883,2010,13813
Sarrià-Sant Gervasi,144537,2010,7190
Gràcia,122990,2010,29283
Horta-Guinardó,170795,2010,14232
Nou Barris,167949,2010,20993
Sant Andreu,146844,2010,21594
Sant Martí,230133,2010,21308
Barcelona,1619337,2010,15969
Ciutat Vella,103563,2011,23014
Eixample,264477,2011,35263
Sants-Montjuïc,182817,2011,8503
Les Corts,82436,2011,13739
Sarrià-Sant Gervasi,144554,2011,7191
Gràcia,121540,2011,28938
Horta-Guinardó,169896,2011,14158
Nou Barris,167637,2011,20954
Sant Andreu,147370,2011,21672
Sant Martí,231158,2011,21403
Barcelona,1615448,2011,15931
Ciutat Vella,104442,2012,23209
Eixample,265828,2012,35443
Sants-Montjuïc,184072,2012,8561
Les Corts,82420,2012,13736
Sarrià-Sant Gervasi,145391,2012,7233
Gràcia,121926,2012,29030
Horta-Guinardó,169107,2012,14092
Nou Barris,167419,2012,20927
Sant Andreu,147453,2012,21684
Sant Martí,232885,2012,21563
Barcelona,1620943,2012,15985
Ciutat Vella,103339,2013,22964
Eixample,264780,2013,35304
Sants-Montjuïc,182685,2013,8496
Les Corts,81640,2013,13606
Sarrià-Sant Gervasi,145266,2013,7227
Gràcia,120949,2013,28797
Horta-Guinardó,167743,2013,13978
Nou Barris,165748,2013,20718
Sant Andreu,146846,2013,21595
Sant Martí,232826,2013,21557
Barcelona,1611822,2013,15895
Ciutat Vella,100685,2014,22374
Eixample,263565,2014,35142
Sants-Montjuïc,180824,2014,8410
Les Corts,81200,2014,13533
Sarrià-Sant Gervasi,145761,2014,7251
Gràcia,120273,2014,28636
Horta-Guinardó,166950,2014,13912
Nou Barris,164516,2014,20564
Sant Andreu,145983,2014,21468
Sant Martí,232629,2014,21539
Barcelona,1602386,2014,15802
Ciutat Vella,100115,2015,22247
Eixample,263558,2015,35141
Sants-Montjuïc,180757,2015,8407
Les Corts,81530,2015,13588
Sarrià-Sant Gervasi,146834,2015,7305
Gràcia,120401,2015,28666
Horta-Guinardó,166559,2015,13879
Nou Barris,164648,2015,20581
Sant Andreu,146494,2015,21543
Sant Martí,233659,2015,21635
Barcelona,1604555,2015,15824
Ciutat Vella,100070,2016,22237
Eixample,264305,2016,35240
Sants-Montjuïc,180977,2016,8417
Les Corts,81642,2016,13607
Sarrià-Sant Gervasi,148026,2016,7364
Gràcia,120918,2016,28790
Horta-Guinardó,167268,2016,13939
Nou Barris,164881,2016,20610
Sant Andreu,146731,2016,21578
Sant Martí,233928,2016,21660
Barcelona,1608746,2016,15865
