localizacion;poblacion;año;densidad
Ciutat Vella;87.419;2001;19426
Eixample;249.829;2001;33310
Sants-Montjuïc;166.663;2001;7751
Les Corts;80.717;2001;13452
Sarrià-Sant Gervasi;132.764;2001;6605
Gràcia;114.400;2001;27238
Horta-Guinardó;166.010;2001;13834
Nou Barris;162.162;2001;20270
Sant Andreu;135.963;2001;19994
Sant Martí;207.957;2001;19255
Barcelona;1.503.884;2001;14831
Ciutat Vella;97.282;2002;21618
Eixample;251.497;2002;33532
Sants-Montjuïc;169.821;2002;7898
Les Corts;81.951;2002;13658
Sarrià-Sant Gervasi;134.241;2002;6678
Gràcia;114.853;2002;27345
Horta-Guinardó;166.655;2002;13887
Nou Barris;164.309;2002;20538
Sant Andreu;136.867;2002;20127
Sant Martí;209.714;2002;19417
Barcelona;1.527.190;2002;15061
Ciutat Vella;106.722;2003;23716
Eixample;262.044;2003;34939
Sants-Montjuïc;176.080;2003;8189
Les Corts;83.627;2003;13937
Sarrià-Sant Gervasi;139.506;2003;6940
Gràcia;119.216;2003;28384
Horta-Guinardó;170.263;2003;14188
Nou Barris;166.627;2003;20828
Sant Andreu;140.850;2003;20713
Sant Martí;217.803;2003;20166
Barcelona;1.582.738;2003;15608
Ciutat Vella;107.605;2004;23912
Eixample;260.237;2004;34698
Sants-Montjuïc;176.027;2004;8187
Les Corts;82.546;2004;13757
Sarrià-Sant Gervasi;138.656;2004;6898
Gràcia;119.210;2004;28383
Horta-Guinardó;169.739;2004;14144
Nou Barris;165.368;2004;20671
Sant Andreu;141.154;2004;20757
Sant Martí;218.004;2004;20185
Barcelona;1.578.546;2004;15567
Ciutat Vella;111.290;2005;24731
Eixample;262.485;2005;34998
Sants-Montjuïc;177.636;2005;8262
Les Corts;82.588;2005;13764
Sarrià-Sant Gervasi;140.461;2005;6988
Gràcia;120.087;2005;28592
Horta-Guinardó;169.920;2005;14160
Nou Barris;164.981;2005;20622
Sant Andreu;142.598;2005;20970
Sant Martí;221.029;2005;20465
Barcelona;1.593.075;2005;15710
Ciutat Vella;113.154;2006;25145
Eixample;265.561;2006;35408
Sants-Montjuïc;180.044;2006;8374
Les Corts;82.745;2006;13790
Sarrià-Sant Gervasi;141.469;2006;7038
Gràcia;121.245;2006;28867
Horta-Guinardó;169.774;2006;14147
Nou Barris;165.156;2006;20644
Sant Andreu;143.540;2006;21108
Sant Martí;222.914;2006;20640
Barcelona;1.605.602;2006;15834
Ciutat Vella;111.518;2007;24781
Eixample;262.469;2007;34995
Sants-Montjuïc;178.482;2007;8301
Les Corts;81.628;2007;13604
Sarrià-Sant Gervasi;141.091;2007;7019
Gràcia;120.177;2007;28613
Horta-Guinardó;168.541;2007;14045
Nou Barris;164.982;2007;20622
Sant Andreu;143.148;2007;21051
Sant Martí;223.074;2007;20655
Barcelona;1.595.110;2007;15730
Ciutat Vella;111.636;2008;24808
Eixample;265.866;2008;35448
Sants-Montjuïc;181.432;2008;8438
Les Corts;82.489;2008;13748
Sarrià-Sant Gervasi;142.665;2008;7097
Gràcia;122.088;2008;29068
Horta-Guinardó;170.427;2008;14202
Nou Barris;167.433;2008;20929
Sant Andreu;145.443;2008;21388
Sant Martí;226.429;2008;20965
Barcelona;1.615.908;2008;15935
Ciutat Vella;107.426;2009;23872
Eixample;266.874;2009;35583
Sants-Montjuïc;182.395;2009;8483
Les Corts;82.952;2009;13825
Sarrià-Sant Gervasi;143.911;2009;7159
Gràcia;123.383;2009;29376
Horta-Guinardó;171.186;2009;14265
Nou Barris;168.181;2009;21022
Sant Andreu;146.528;2009;21548
Sant Martí;228.701;2009;21176
Barcelona;1.621.537;2009;15991
Ciutat Vella;104.507;2010;23223
Eixample;265.785;2010;35438
Sants-Montjuïc;182.914;2010;8507
Les Corts;82.883;2010;13813
Sarrià-Sant Gervasi;144.537;2010;7190
Gràcia;122.990;2010;29283
Horta-Guinardó;170.795;2010;14232
Nou Barris;167.949;2010;20993
Sant Andreu;146.844;2010;21594
Sant Martí;230.133;2010;21308
Barcelona;1.619.337;2010;15969
Ciutat Vella;103.563;2011;23014
Eixample;264.477;2011;35263
Sants-Montjuïc;182.817;2011;8503
Les Corts;82.436;2011;13739
Sarrià-Sant Gervasi;144.554;2011;7191
Gràcia;121.540;2011;28938
Horta-Guinardó;169.896;2011;14158
Nou Barris;167.637;2011;20954
Sant Andreu;147.370;2011;21672
Sant Martí;231.158;2011;21403
Barcelona;1.615.448;2011;15931
Ciutat Vella;104.442;2012;23209
Eixample;265.828;2012;35443
Sants-Montjuïc;184.072;2012;8561
Les Corts;82.420;2012;13736
Sarrià-Sant Gervasi;145.391;2012;7233
Gràcia;121.926;2012;29030
Horta-Guinardó;169.107;2012;14092
Nou Barris;167.419;2012;20927
Sant Andreu;147.453;2012;21684
Sant Martí;232.885;2012;21563
Barcelona;1.620.943;2012;15985
Ciutat Vella;103.339;2013;22964
Eixample;264.780;2013;35304
Sants-Montjuïc;182.685;2013;8496
Les Corts;81.640;2013;13606
Sarrià-Sant Gervasi;145.266;2013;7227
Gràcia;120.949;2013;28797
Horta-Guinardó;167.743;2013;13978
Nou Barris;165.748;2013;20718
Sant Andreu;146.846;2013;21595
Sant Martí;232.826;2013;21557
Barcelona;1.611.822;2013;15895
Ciutat Vella;100.685;2014;22374
Eixample;263.565;2014;35142
Sants-Montjuïc;180.824;2014;8410
Les Corts;81.200;2014;13533
Sarrià-Sant Gervasi;145.761;2014;7251
Gràcia;120.273;2014;28636
Horta-Guinardó;166.950;2014;13912
Nou Barris;164.516;2014;20564
Sant Andreu;145.983;2014;21468
Sant Martí;232.629;2014;21539
Barcelona;1.602.386;2014;15802
Ciutat Vella;100.115;2015;22247
Eixample;263.558;2015;35141
Sants-Montjuïc;180.757;2015;8407
Les Corts;81.530;2015;13588
Sarrià-Sant Gervasi;146.834;2015;7305
Gràcia;120.401;2015;28666
Horta-Guinardó;166.559;2015;13879
Nou Barris;164.648;2015;20581
Sant Andreu;146.494;2015;21543
Sant Martí;233.659;2015;21635
Barcelona;1.604.555;2015;15824
Ciutat Vella;100070;2016;22237
Eixample;264305;2016;35240
Sants-Montjuïc;180977;2016;8417
Les Corts;81642;2016;13607
Sarrià-Sant Gervasi;148026;2016;7364
Gràcia;120918;2016;28790
Horta-Guinardó;167268;2016;13939
Nou Barris;164881;2016;20610
Sant Andreu;146731;2016;21578
Sant Martí;233928;2016;21660
Barcelona;1608746;2016;15865
