localizacion,rango,year,poblacion,porcentaje
Ciutat Vella Total,total,2016,100070,
Ciutat Vella,de 0 a 20,2016,14202,14.19
Ciutat Vella,de 20-39,2016,39667,39.64
Ciutat Vella,de 40-59,2016,28105,28.09
Ciutat Vella,de 60-79,2016,12799,12.79
Ciutat Vella,más de 80,2016,5297,5.29
Eixample Total,total,2016,264305,
Eixample,de 0 a 20,2016,38524,14.58
Eixample,de 20-39,2016,77415,29.29
Eixample,de 40-59,2016,74096,28.03
Eixample,de 60-79,2016,51913,19.64
Eixample,más de 80,2016,22357,8.46
Sants-Montjuïc Total,total,2016,180977,
Sants-Montjuïc,de 0 a 20,2016,28137,15.55
Sants-Montjuïc,de 20-39,2016,52586,29.06
Sants-Montjuïc,de 40-59,2016,53359,29.48
Sants-Montjuïc,de 60-79,2016,33838,18.7
Sants-Montjuïc,más de 80,2016,13057,7.21
Les Corts Total,total,2016,81642,
Les Corts,de 0 a 20,2016,13500,16.54
Les Corts,de 20-39,2016,20047,24.55
Les Corts,de 40-59,2016,21934,26.87
Les Corts,de 60-79,2016,19534,23.93
Les Corts,más de 80,2016,6627,8.12
Sarrià-Sant Gervasi Total,total,2016,148026,
Sarrià-Sant Gervasi,de 0 a 20,2016,31265,21.12
Sarrià-Sant Gervasi,de 20-39,2016,34974,23.63
Sarrià-Sant Gervasi,de 40-59,2016,41816,28.25
Sarrià-Sant Gervasi,de 60-79,2016,28199,19.05
Sarrià-Sant Gervasi,más de 80,2016,11772,7.95
Gràcia Total,total,2016,120918,
Gràcia,de 0 a 20,2016,18654,15.43
Gràcia,de 20-39,2016,35633,29.47
Gràcia,de 40-59,2016,33569,27.76
Gràcia,de 60-79,2016,23486,19.42
Gràcia,más de 80,2016,9576,7.92
Horta-Guinardó Total,total,2016,167268,
Horta-Guinardó,de 0 a 20,2016,27321,16.33
Horta-Guinardó,de 20-39,2016,41562,24.85
Horta-Guinardó,de 40-59,2016,48822,29.19
Horta-Guinardó,de 60-79,2016,35458,21.2
Horta-Guinardó,más de 80,2016,14105,8.43
Nou Barris Total,total,2016,164881,
Nou Barris,de 0 a 20,2016,28628,17.36
Nou Barris,de 20-39,2016,41067,24.91
Nou Barris,de 40-59,2016,47283,28.68
Nou Barris,de 60-79,2016,34043,20.65
Nou Barris,más de 80,2016,13860,8.41
Sant Andreu Total,total,2016,146731,
Sant Andreu,de 0 a 20,2016,25814,17.59
Sant Andreu,de 20-39,2016,36967,25.19
Sant Andreu,de 40-59,2016,43368,29.56
Sant Andreu,de 60-79,2016,30033,20.47
Sant Andreu,más de 80,2016,10549,7.19
Sant Martí Total,total,2016,233928,
Sant Martí,de 0 a 20,2016,41279,17.65
Sant Martí,de 20-39,2016,61396,26.25
Sant Martí,de 40-59,2016,70487,30.13
Sant Martí,de 60-79,2016,44358,18.96
Sant Martí,más de 80,2016,16408,7.01
Barcelona Total,total,2016,1608746,
Barcelona,de 0 a 20,2016,267324,16.62
Barcelona,de 20-39,2016,441314,27.43
Barcelona,de 40-59,2016,462839,28.77
Barcelona,de 60-79,2016,313661,19.5
Barcelona,más de 80,2016,123608,7.68
Ciutat Vella Total,total,2015,100115,
Ciutat Vella,de 0 a 20,2015,14161,14.14
Ciutat Vella,de 20-39,2015,39896,39.85
Ciutat Vella,de 40-59,2015,27684,27.65
Ciutat Vella,de 60-79,2015,12949,12.93
Ciutat Vella,más de 80,2015,5425,5.42
Eixample Total,total,2015,263558,
Eixample,de 0 a 20,2015,38276,14.52
Eixample,de 20-39,2015,77657,29.46
Eixample,de 40-59,2015,73605,27.93
Eixample,de 60-79,2015,51641,19.59
Eixample,más de 80,2015,22379,8.49
Sants-Montjuïc Total,total,2015,180757,
Sants-Montjuïc,de 0 a 20,2015,28045,15.52
Sants-Montjuïc,de 20-39,2015,53324,29.5
Sants-Montjuïc,de 40-59,2015,52815,29.22
Sants-Montjuïc,de 60-79,2015,33626,18.6
Sants-Montjuïc,más de 80,2015,12947,7.16
Les Corts Total,total,2015,81530,
Les Corts,de 0 a 20,2015,13302,16.32
Les Corts,de 20-39,2015,20547,25.2
